,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
1525,1525,https://www.blablacar.it/passaggio-milano-milano-1-717561684,2017-01-09,11:10:43,Milano,45.4935701,9.2038847,"Via Privata Meina, Milano, MI, Italia",Milano,45.4600081,9.1316725,"Viale Legioni Romane, Milano, MI, Italia",3.0,10,1,1,717561684-milano-milano-1,[Milano],none,no_booking
1526,1526,https://www.blablacar.it/passaggio-milano-milano-1-702890103,2017-01-09,13:20:00,Milano,45.437728,9.168557,"Famagosta m2, Milano, MI",Milano,45.4553804,9.1129255,"Bisceglie, Milano, MI",1.0,18,3,3,702890103-milano-milano-1,"[Pavia, Milano, Cornaredo]",none,no_booking
1527,1527,https://www.blablacar.it/passaggio-milano-casciago-717568404,2017-01-09,15:50:00,Milano,45.4646221,9.1895961,"Duomo M1, Milano, MI, Italia",Casciago,45.8333727,8.7816865,"Casciago, VA, Italia",4.0,63,3,3,717568404-milano-casciago,"[Milano, Casciago]",none,no_booking
1528,1528,https://www.blablacar.it/passaggio-milano-sesto-san-giovanni-702336203,2017-01-09,16:00:00,Milano,45.4727208,9.1919316,"Via dell'Annunciata, 20121 Milano, Italia",Sesto San Giovanni,45.5328245,9.2256875,"20099 Sesto San Giovanni MI, Italia",1.0,12,3,3,702336203-milano-sesto-san-giovanni,"[Milano, Sesto San Giovanni]",none,no_booking
1529,1529,https://www.blablacar.it/passaggio-milano-novara-716600224,2017-01-09,16:00:00,Milano,45.430419922,9.176301956,"Piazza Abbiategrasso, Milano, MI, Italia",Novara,45.446929932,8.622160912,"Novara, NO, Italia",4.0,62,4,4,716600224-milano-novara,"[Milano, Novara]",none,no_booking
1530,1530,https://www.blablacar.it/passaggio-milano-villa-guardia-co-italia-718186109,2017-01-09,16:50:49,Milano,45.4697657,9.1924709,"Via Alessandro Manzoni, Milano, MI, Italia","Villa Guardia, CO, Italia",45.7716658,9.0194529,"Villa Guardia, CO, Italia",2.0,47,3,3,718186109-milano-villa-guardia-co-italia,[Milano],none,no_booking
1531,1531,https://www.blablacar.it/passaggio-milano-milano-1-693535642,2017-01-09,17:00:00,Milano,45.4883969,9.2277906,"Via Accademia, 61, Milano, MI",Milano,45.4104313,9.174776,"Via dei Missaglia, 139, Milano, MI",1.0,25,4,4,693535642-milano-milano-1,[Milano],none,no_booking
1532,1532,https://www.blablacar.it/passaggio-milano-pavia-702626103,2017-01-09,17:00:00,Milano,45.4873695,9.1573853,"Piazza Firenze, Milano, MI",Pavia,45.1886494,9.144754,"Pavia, PV",3.0,42,3,3,702626103-milano-pavia,"[Milano, Pavia]",none,no_booking
1533,1533,https://www.blablacar.it/passaggio-milano-guanzate-704652933,2017-01-09,17:30:00,Milano,45.4654219,9.1859243,"Milano, Italia",Guanzate,45.7229755,9.0121413,"22070 Guanzate CO, Italia",1.0,40,3,3,704652933-milano-guanzate,"[Milano, Guanzate]",none,no_booking
1534,1534,https://www.blablacar.it/passaggio-milano-bergamo-717549219,2017-01-09,18:00:00,Milano,45.4681548,9.217041,"Milano Dateo, Milano, MI, Italia",Bergamo,45.6904038,9.6750729,"Bergamo Stazione, Bergamo, BG, Italia",3.0,51,3,3,717549219-milano-bergamo,"[Milano, Bergamo]",none,no_booking
1535,1535,https://www.blablacar.it/passaggio-milano-tromello-704962978,2017-01-09,18:30:00,Milano,45.4374087,9.1689964,"Famagosta, Milano, MI",Tromello,45.2101972,8.8728132,"Tromello, PV",2.0,47,3,3,704962978-milano-tromello,"[Milano, Tromello]",none,no_booking
1536,1536,https://www.blablacar.it/passaggio-milano-pavia-702890253,2017-01-09,18:40:00,Milano,45.437728,9.168557,"Famagosta m2, Milano, MI",Pavia,45.1846496,9.1580295,"Pavia, PV",3.0,37,3,3,702890253-milano-pavia,"[Cornaredo, Milano, Pavia]",none,no_booking
1537,1537,https://www.blablacar.it/passaggio-milano-1-milano-714019424,2017-01-09,18:50:00,Milano,45.4973525,9.1855444,"Piazzale Carlo Maciachini, Milano, MI",Milano,45.4836761,9.1703288,"Via Giulio Cesare Procaccini, 32, Milano, MI",1.0,2,3,3,714019424-milano-1-milano,"[Seveso, Milano]",none,no_booking
1538,1538,https://www.blablacar.it/passaggio-milano-giovenzano-711160059,2017-01-09,19:00:00,Milano,45.437728,9.168557,"Famagosta m2, Milano, MI, Italia",Giovenzano,45.279879,9.106918,"Vellezzo Bellini, PV, Italia",1.0,21,3,3,711160059-milano-giovenzano,"[Milano, Giovenzano]",none,no_booking
1539,1539,https://www.blablacar.it/passaggio-milano-capriate-san-gervasio-708556391,2017-01-09,19:00:00,Milano,45.4843046,9.1876802,"Porta Garibaldi, Milano, MI, Italia",Capriate San Gervasio,45.6225032,9.527097,"Capriate San Gervasio, BG, Italia",2.0,41,3,3,708556391-milano-capriate-san-gervasio,"[Milano, Capriate San Gervasio, Mapello]",none,no_booking
1540,1540,https://www.blablacar.it/passaggio-milano-novara-716067849,2017-01-09,19:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Novara,45.4468964,8.6221604,"Novara, NO",3.0,51,3,3,716067849-milano-novara,"[Milano, Novara]",none,no_booking
1541,1541,https://www.blablacar.it/passaggio-milano-monza-717675799,2017-01-09,19:30:00,Milano,45.46549,9.18588,"Milano, MI",Monza,45.5845001,9.2744485,"Monza, MB",1.0,19,4,4,717675799-milano-monza,"[Milano, Monza]",none,no_booking
