,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype,arr_city_name
4803,4803,https://www.blablacar.it/passaggio-milano-sondrio-760669915,2017-03-28,05:30:00,Milano,45.4837695,9.2031769,"Piazza Duca d'Aosta, 2, 20125 Milano, Italia",Sondrio,46.1676094,9.8738267,"Piazzale Bertacchi Giovanni, 71, 23100 Sondrio SO, Italia",5.5,132,3,3,760669915-milano-sondrio,"[Milano, Sondrio]",auto,online,Sondrio
4804,4804,https://www.blablacar.it/passaggio-milano-bologna-770266690,2017-03-28,06:00:00,Milano,45.4844397,9.2026128,"Centrale FS, Milano",Bologna,44.50630188,11.342697144,"Stazione Centrale, Bologna",8.5,222,2,2,770266690-milano-bologna,"[Milano, Bologna]",manual,online,Bologna
4805,4805,https://www.blablacar.it/passaggio-milano-genova-768815880,2017-03-28,06:30:00,Milano,45.4861631,9.2163838,"Piazzale Loreto, Milano, MI",Genova,44.4168921,8.9215322,"Genova Piazza Principe, Genova, GE",7.5,147,2,3,768815880-milano-genova,"[Milano, Genova]",auto,online,Genova
4806,4806,https://www.blablacar.it/passaggio-milano-bergamo-768406820,2017-03-28,06:30:08,Milano,45.5012547,9.1978055,"Piazzale Istria, Milano, MI",Bergamo,45.6837846,9.6699285,"Via Autostrada, Bergamo, BG",4.0,47,2,2,768406820-milano-bergamo,"[Milano, Bergamo]",manual,online,Bergamo
4807,4807,https://www.blablacar.it/passaggio-milano-aeroporto-di-bergamo-orio-al-serio-orio-al-serio-bergamo-765655070,2017-03-28,06:40:18,Milano,45.46549,9.18588,"Milano, MI","Aeroporto di Bergamo / Orio al Serio, Orio al serio, Bergamo",45.6695707,9.7036313,"Aeroporto di Bergamo / Orio al Serio, Orio al serio, Bergamo",3.0,52,2,3,765655070-milano-aeroporto-di-bergamo-orio-al-serio-orio-al-serio-bergamo,[Milano],manual,online,Orio al Serio
4808,4808,https://www.blablacar.it/passaggio-milano-desenzano-del-garda-764660095,2017-03-28,06:50:00,Milano,45.474899292,9.123623848,"Via Don Carlo Gnocchi, 3, 20148 Milano, Italia",Desenzano Del Garda,45.47145462,10.533334732,"25015 Desenzano del Garda BS, Italia",12.0,128,3,3,764660095-milano-desenzano-del-garda,"[Milano, Desenzano Del Garda]",auto,online,Desenzano Del Garda
4809,4809,https://www.blablacar.it/passaggio-milano-treviso-769512565,2017-03-28,07:00:00,Milano,45.4589553,9.1702658,"Piazza Sant'Agostino, 20123 Milano, Italia",Treviso,45.6668893,12.2430437,Treviso,20.5,293,3,3,769512565-milano-treviso,"[Milano, Treviso, Conegliano]",auto,online,Treviso
4810,4810,https://www.blablacar.it/passaggio-milano-via-aeroporto-orio-al-serio-bergamo-766886330,2017-03-28,07:20:00,Milano,45.4874152,9.1715554,"Cenisio M5, Milano, MI","Via Aeroporto, Orio al Serio, Bergamo",45.6646074,9.7025832,"Via Aeroporto, Orio al Serio, Bergamo",4.0,55,2,2,766886330-milano-via-aeroporto-orio-al-serio-bergamo,[Milano],auto,online,Orio al Serio
4811,4811,https://www.blablacar.it/passaggio-milano-orio-al-serio-aeroporto-orio-al-serio-bg-766892730,2017-03-28,07:30:00,Milano,45.4680184,9.1561936,"Wagner M1, Milano, MI","Orio al Serio - Aeroporto, Orio al serio, BG",45.6659203,9.6953431,"Orio al Serio - Aeroporto, Orio al serio, BG",4.0,57,2,2,766892730-milano-orio-al-serio-aeroporto-orio-al-serio-bg,[Milano],manual,online,Orio al Serio
4812,4812,https://www.blablacar.it/passaggio-milano-lugano-767561880,2017-03-28,07:30:00,Milano,45.4836761,9.1880191,"Garibaldi-Isola, Milano, MI",Lugano,46.0036778,8.951052,"Lugano, Svizzera",7.5,77,3,3,767561880-milano-lugano,"[Milano, Lugano]",manual,online,Lugano
